Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Victoria,Northbound,GREEN PARK,OXFORD CIRCUS,1.14,1.97,2.47,2.02
Victoria,Northbound,OXFORD CIRCUS,WARREN STREET,0.9,1.53,2.48,2.04
Victoria,Northbound,WARREN STREET,EUSTON,0.76,1.32,1.5,1.5
Victoria,Northbound,EUSTON,KINGS CROSS,0.74,1.35,2,2
Victoria,Northbound,KINGS CROSS,HIGHBURY,2.45,2.87,3,3
Victoria,Northbound,HIGHBURY,FINSBURY PARK,1.93,2.4,2.97,2.56
Victoria,Northbound,FINSBURY PARK,SEVEN SISTERS,3.15,4.25,5.34,5.76
Victoria,Northbound,SEVEN SISTERS,TOTTENHAM HALE,1.05,1.6,1.5,1.5
Victoria,Northbound,TOTTENHAM HALE,BLACKHORSE ROAD,1.37,1.97,2.5,2.5
Victoria,Northbound,BLACKHORSE ROAD,WALTHAMSTOW,1.45,2.12,2.04,2.01
Jubilee ,Eastbound,STANMORE,CANONS PARK,1.27,1.95,2,2
Jubilee ,Eastbound,CANONS PARK,QUEENSBURY,1.71,1.93,2.5,2.5
Jubilee ,Eastbound,QUEENSBURY,KINGSBURY,1.33,1.72,2,2
Jubilee ,Eastbound,KINGSBURY,WEMBLEY PARK,2.85,3.47,4.73,4.56
Jubilee ,Eastbound,WEMBLEY PARK,NEASDEN,2.28,2.6,3.03,3.01
Jubilee ,Eastbound,NEASDEN,DOLLIS HILL,0.85,1.43,1.5,1.5
Jubilee ,Eastbound,DOLLIS HILL,WILLESDEN GREEN,1.21,1.8,2.11,2.14
Jubilee ,Eastbound,WILLESDEN GREEN,KILBURN,1.19,1.68,2,2
Jubilee ,Eastbound,KILBURN,WEST HAMPSTEAD,1.09,1.63,2.5,2
Jubilee ,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD,0.61,1.25,1.5,1.5
Northern ,Southbound,EDGWARE,BURNT OAK,1.47,2.43,2.5,2.5
Northern ,Southbound,BURNT OAK,COLINDALE,1.31,1.98,2.5,2.5
Northern ,Southbound,COLINDALE,HENDON CENTRAL,2.1,2.83,3,3
Northern ,Southbound,HENDON CENTRAL,BRENT CROSS,1.1,1.73,2,2
Northern ,Southbound,BRENT CROSS,GOLDERS GREEN,1.55,2.57,3.03,3.64
Northern ,Southbound,GOLDERS GREEN,HAMPSTEAD,2.34,3.42,3.5,3.5
Northern ,Southbound,HAMPSTEAD,BELSIZE PARK,1.2,1.82,2,2
Northern ,Southbound,BELSIZE PARK,CHALK FARM,1.1,1.77,2,2
Northern ,Southbound,CHALK FARM,CAMDEN TOWN,0.85,1.53,2.62,2.56
Northern ,Southbound,HIGH BARNET,TOTTERIDGE & WHETSTONE,2.46,3.67,3.5,3.5
Northern ,Southbound,TOTTERIDGE & WHETSTONE,WOODSIDE PARK,1.5,2.23,2.5,2.5
Northern ,Southbound,WOODSIDE PARK,WEST FINCHLEY,0.98,1.7,1.5,1.5
Northern ,Southbound,WEST FINCHLEY,FINCHLEY CENTRAL,1.14,2.08,3.13,2.51
Northern ,Southbound,MILL HILL EAST,FINCHLEY CENTRAL,1.52,2.75,3.27,3
Northern ,Southbound,FINCHLEY CENTRAL,EAST FINCHLEY,2.42,3.37,3.5,3.5
Northern ,Southbound,EAST FINCHLEY,HIGHGATE,1.63,3,3,3
Northern ,Southbound,HIGHGATE,ARCHWAY,1.7,2.8,3,3
Northern ,Southbound,ARCHWAY,TUFNELL PARK,0.88,1.6,1.5,1.5
Northern ,Southbound,TUFNELL PARK,KENTISH TOWN,0.8,1.42,1.5,1.5
Northern ,Southbound,KENTISH TOWN,CAMDEN TOWN,1.15,1.93,3.08,3.08
